Metric,iForest  (1),LOF  (1)
Composite F1 Score,0.584,0.6184
Point-wise F1 Score,0.5354,0.4979
Event-wise F1 Score,0.3636,0.4
Point-adjusted F1 Score,0.648,0.7429
Composite F0.5 Score,0.4674,0.5032
Point-wise F0.5 Score,0.4542,0.4664
Event-wise F0.5 Score,0.2632,0.2941
Point-adjusted F0.5 Score,0.535,0.6436
Point-wise Precision,0.4125,0.4476
Event-wise Precision,0.2222,0.25
Point-adjusted Precision,0.4793,0.5909
Point-wise Recall,0.7628,0.5609
Event-wise Recall,1,1
Point-adjusted Recall,1,1
