timestamp,value,is_anomaly
3001,0.09082801,0
3002,0.1090997,0
3003,0.1160903,0
3004,0.123755,0
3005,0.1326344,0
3006,0.1324235,0
3007,0.1364879,0
3008,0.1391043,0
3009,0.1476232,0
3010,0.1449888,0
3011,0.150889,0
3012,0.1550114,0
3013,0.1616274,0
3014,0.1621597,0
3015,0.1665219,0
3016,0.1710909,0
3017,0.175099,0
3018,0.1795364,0
3019,0.1819388,0
3020,0.1846399,0
3021,0.1897894,0
3022,0.189604,0
3023,0.1947863,0
3024,0.1969385,0
3025,0.2038187,0
3026,0.2038727,0
3027,0.2116128,0
3028,0.2133736,0
3029,0.2121189,0
3030,0.2185699,0
3031,0.2195779,0
3032,0.2229686,0
3033,0.2256666,0
3034,0.2254368,0
3035,0.2283008,0
3036,0.2332469,0
3037,0.235218,0
3038,0.2355836,0
3039,0.2385074,0
3040,0.2381127,0
3041,0.2403619,0
3042,0.2432124,0
3043,0.2433812,0
3044,0.2453246,0
3045,0.2485776,0
3046,0.2441406,0
3047,0.2464624,0
3048,0.2485287,0
3049,0.2464504,0
3050,0.2488371,0
3051,0.243384,0
3052,0.2486487,0
3053,0.2504183,0
3054,0.2459543,0
3055,0.246343,0
3056,0.2441292,0
3057,0.2453397,0
3058,0.2459759,0
3059,0.2416102,0
3060,0.2422871,0
3061,0.2385899,0
3062,0.2395713,0
3063,0.2375509,0
3064,0.2353195,0
3065,0.2306844,0
3066,0.231868,0
3067,0.2291311,0
3068,0.227339,0
3069,0.2265862,0
3070,0.223305,0
3071,0.22123,0
3072,0.224129,0
3073,0.216775,0
3074,0.2158756,0
3075,0.2125981,0
3076,0.204405,0
3077,0.2001656,0
3078,0.1975914,0
3079,0.1898852,0
3080,0.1834428,0
3081,0.1771882,0
3082,0.167567,0
3083,0.1643074,0
3084,0.1551303,0
3085,0.1461104,0
3086,0.1411977,0
3087,0.1362424,0
3088,0.12954,0
3089,0.1234597,0
3090,0.1139708,0
3091,0.1062099,0
3092,0.1031291,0
3093,0.09449322,0
3094,0.09052452,0
3095,0.08040513,0
3096,0.06956069,0
3097,0.06563924,0
3098,0.05812419,0
3099,0.04944269,0
3100,0.04424317,0
3101,0.03764393,0
3102,0.02854971,0
3103,0.02228726,0
3104,0.0158403,0
3105,0.005998144,0
3106,0.002899545,0
3107,-0.006242138,0
3108,-0.01332317,0
3109,-0.02018265,0
3110,-0.0279592,0
3111,-0.03522624,0
3112,-0.04241422,0
3113,-0.05073335,0
3114,-0.05731845,0
3115,-0.0631835,0
3116,-0.06807762,0
3117,-0.07719582,0
3118,-0.08150166,0
3119,-0.09319181,0
3120,-0.09686165,0
3121,-0.1008726,0
3122,-0.1106899,0
3123,-0.1159812,0
3124,-0.1208611,0
3125,-0.1266052,0
3126,-0.1360261,0
3127,-0.1401101,0
3128,-0.1456977,0
3129,-0.1543981,0
3130,-0.159404,0
3131,-0.1635894,0
3132,-0.1689711,0
3133,-0.1783452,0
3134,-0.1782272,0
3135,-0.1868985,0
3136,-0.1921799,0
3137,-0.1939983,0
3138,-0.202887,0
3139,-0.2069154,0
3140,-0.2118367,0
3141,-0.2169422,0
3142,-0.2211425,0
3143,-0.228421,0
3144,-0.2360275,0
3145,-0.2375436,0
3146,-0.2397157,0
3147,-0.2454918,0
3148,-0.2488385,0
3149,-0.2519012,0
3150,-0.257395,0
3151,-0.2592928,0
3152,-0.2677905,0
3153,-0.2768312,0
3154,-0.2768083,0
3155,-0.285164,0
3156,-0.2894408,0
3157,-0.2953204,0
3158,-0.2967354,0
3159,-0.3047709,0
3160,-0.3063659,0
3161,-0.3123389,0
3162,-0.3137476,0
3163,-0.3170266,0
3164,-0.3141305,0
3165,-0.3157798,0
3166,-0.3186405,0
3167,-0.3228298,0
3168,-0.3217831,0
3169,-0.3247114,0
3170,-0.3241236,0
3171,-0.3226419,0
3172,-0.3249949,0
3173,-0.3219178,0
3174,-0.3233444,0
3175,-0.3209625,0
3176,-0.3207431,0
3177,-0.3202042,0
3178,-0.3172273,0
3179,-0.3148199,0
3180,-0.3128431,0
3181,-0.3113151,0
3182,-0.3130743,0
3183,-0.3043247,0
3184,-0.3086853,0
3185,-0.3024531,0
3186,-0.3004205,0
3187,-0.2918998,0
3188,-0.2923624,0
3189,-0.2875152,0
3190,-0.2842673,0
